neighbourhood_code,space_heating_demand_per_house,hot_water_demand_per_house,space_heating_demand_per_m2_utility,hot_water_demand_per_m2_utility,electricity_demand_per_house,electricity_demand_per_m2_utility,share_of_houses_demolished,number_of_new_apartments,number_of_new_terraced_houses,number_of_new_detached_houses,number_of_new_semi_detached_houses,number_of_new_houses_unknown_type,epi_of_new_houses,size_of_new_houses,existing_heat_network_share,trace_length
BU03071904,36,7,0.276923077,0.053846154,120,0.923076923,0,0,0,0,0,0,0.9,100,0,8042.74727
BU03071905,25,7,0.192307692,0.053846154,10,0.076923077,0,0,0,0,0,0,0.9,100,0,3892.834328
BU03071906,35,8,0.269230769,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,2975.491684
BU03072000,30,8,0.230769231,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,6055.23963
BU03072001,26,7,0.2,0.053846154,112,0.861538462,0,0,0,0,0,0,0.9,100,0,6487.43067
BU03072002,27,7,0.207692308,0.053846154,10,0.076923077,0,0,0,0,0,0,0.9,100,0,3635.109471
BU03072003,27,6,0.207692308,0.046153846,113,0.869230769,0,0,0,0,0,0,0.9,100,0,4250.418208
BU03072004,31,8,0.238461538,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,6069.039307
BU03072005,33,8,0.253846154,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,5666.553607
BU03072006,27,0,0.207692308,0,1056,8.123076923,0,0,0,0,0,0,0.9,100,0,945.5726763
BU03072100,27,8,0.207692308,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,4795.548355
BU03072101,26,7,0.2,0.053846154,11,0.084615385,0,0,0,0,0,0,0.9,100,0,2527.039451
BU03072102,32,8,0.246153846,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,5042.734346
BU03072103,24,8,0.184615385,0.061538462,9,0.069230769,0,0,0,0,0,0,0.9,100,0,4112.016847
BU03072104,30,7,0.230769231,0.053846154,11,0.084615385,0,0,0,0,0,0,0.9,100,0,3846.841296
BU03072105,27,5,0.207692308,0.038461538,227,1.746153846,0,0,0,0,0,0,0.9,100,0,3437.449364
BU03072106,27,7,0.207692308,0.053846154,10,0.076923077,0,0,0,0,0,0,0.9,100,0,4189.475747
BU03072107,25,8,0.192307692,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,6200.356486
BU03072108,30,8,0.230769231,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,7371.617384
BU03072201,33,1,0.253846154,0.007692308,954,7.338461538,0,0,0,0,0,0,0.9,100,0,8004.00202
BU03072300,45,4,0.346153846,0.030769231,732,5.630769231,0,0,0,0,0,0,0.9,100,0,1920.764553
BU03072301,58,3,0.446153846,0.023076923,1532,11.78461538,0,0,0,0,0,0,0.9,100,0,717.2787989
BU03072400,26,7,0.2,0.053846154,10,0.076923077,0,0,0,0,0,0,0.9,100,0,10480.28784
BU03072402,30,8,0.230769231,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,10003.45627
BU03072403,24,5,0.184615385,0.038461538,218,1.676923077,0,0,0,0,0,0,0.9,100,60,3384.152737
BU03072404,18,6,0.138461538,0.046153846,216,1.661538462,0,0,0,0,0,0,0.9,100,45,3564.74733
BU03072405,25,7,0.192307692,0.053846154,10,0.076923077,0,0,0,0,0,0,0.9,100,0,9626.282472
BU03072407,25,8,0.192307692,0.061538462,10,0.076923077,0,0,0,0,0,0,0.9,100,0,10261.87732
BU03072500,39,1,0.3,0.007692308,850,6.538461538,0,0,0,0,0,0,0.9,100,0,6062.067144
BU03072501,32,1,0.246153846,0.007692308,846,6.507692308,0,0,0,0,0,0,0.9,100,0,7533.666919
BU03072502,22,1,0.169230769,0.007692308,431,3.315384615,0,0,0,0,0,0,0.9,100,0,4436.817718
BU03072503,79,5,0.607692308,0.038461538,1325,10.19230769,0,0,0,0,0,0,0.9,100,0,2880
BU03072504,43,4,0.330769231,0.030769231,346,2.661538462,0,0,0,0,0,0,0.9,100,0,3813.240092
