BU_CODE,GM_code,nrWEQ [WEQ],nrWEQwoning [WEQ],nrWEQutil [WEQ],,H01_Vraag_totaal [ giga J per WEQ*yr],H02_Vraag_RV [ giga J per WEQ*yr],H03_Vraag_TW [ giga J per WEQ*yr],H04_Vraag_Vent [ giga J per WEQ*yr],H05_Vraag_K [ giga J per WEQ*yr],H06_Vraag_App [ giga J per WEQ*yr],,H01_Vraag_totaal [ giga J per yr],H02_Vraag_RV [ giga J per yr],H03_Vraag_TW [ giga J per yr],H04_Vraag_Vent [ giga J per yr],H05_Vraag_K [ giga J per yr],H06_Vraag_App [ giga J per yr]
GM0307_1_6,GM0307,140.484615,122,18.4846154,,43,19,7,0,3,15,,6040.838445,2669.207685,983.392305,0,421.453845,2107.269225
GM0307_1_59,GM0307,125.115385,125,0.115384615,,27,13,5,0,0,8,,3378.115395,1626.500005,625.576925,0,0,1000.92308
GM0307_1_10,GM0307,340.869231,291,49.8692308,,34,14,6,0,1,12,,11589.55385,4772.169234,2045.215386,0,340.869231,4090.430772
GM0307_2_96,GM0307,283.223077,223,60.2230769,,31,15,4,0,0,11,,8779.915387,4248.346155,1132.892308,0,0,3115.453847
GM0307_2_149,GM0307,170.630769,166,4.63076923,,30,14,6,0,1,9,,5118.92307,2388.830766,1023.784614,0,170.630769,1535.676921
GM0307_2_117,GM0307,315.469231,229,86.4692308,,43,23,6,1,1,13,,13565.17693,7255.792313,1892.815386,315.469231,315.469231,4101.100003
GM0307_2_8,GM0307,30.4153846,25,5.41538462,,41,18,5,0,3,16,,1247.030769,547.4769228,152.076923,0,91.2461538,486.6461536
GM0307_1_40,GM0307,170.569231,153,17.5692308,,35,12,7,0,1,14,,5969.923085,2046.830772,1193.984617,0,170.569231,2387.969234
GM0307_1_38,GM0307,235.523077,214,21.5230769,,40,19,7,1,2,11,,9420.92308,4474.938463,1648.661539,235.523077,471.046154,2590.753847
GM0307_1_3,GM0307,109.330769,69,40.3307692,,59,19,5,0,4,31,,6450.515371,2077.284611,546.653845,0,437.323076,3389.253839
GM0307_1_21,GM0307,271.869231,265,6.86923077,,32,15,6,0,0,10,,8699.815392,4078.038465,1631.215386,0,0,2718.69231
GM0307_1_140,GM0307,128.546154,127,1.54615385,,41,22,8,1,0,11,,5270.392314,2828.015388,1028.369232,128.546154,0,1414.007694
GM0307_1_101,GM0307,158.146154,132,26.1461538,,45,22,7,1,1,14,,7116.57693,3479.215388,1107.023078,158.146154,158.146154,2214.046156
GM0307_1_73,GM0307,217,217,0,,26,12,6,0,0,8,,5642,2604,1302,0,0,1736
GM0307_2_30,GM0307,308.561538,255,53.5615385,,41,19,7,0,1,15,,12651.02306,5862.669222,2159.930766,0,308.561538,4628.42307
GM0307_1_127,GM0307,132.476923,113,19.4769231,,36,15,7,0,3,12,,4769.169228,1987.153845,927.338461,0,397.430769,1589.723076
GM0307_2_82,GM0307,311.415385,265,46.4153846,,32,14,5,0,1,11,,9965.29232,4359.81539,1557.076925,0,311.415385,3425.569235
GM0307_1_67,GM0307,221.215385,200,21.2153846,,29,13,6,0,0,10,,6415.246165,2875.800005,1327.29231,0,0,2212.15385
GM0307_1_132,GM0307,225.207692,206,19.2076923,,48,27,8,1,1,12,,10809.96922,6080.607684,1801.661536,225.207692,225.207692,2702.492304
GM0307_1_115,GM0307,154.946154,149,5.94615385,,31,13,7,0,1,11,,4803.330774,2014.300002,1084.623078,0,154.946154,1704.407694
GM0307_1_82,GM0307,423.346154,391,32.3461538,,32,16,6,0,0,9,,13547.07693,6773.538464,2540.076924,0,0,3810.115386
GM0307_2_69,GM0307,556.030769,546,10.0307692,,40,21,8,0,0,11,,22241.23076,11676.64615,4448.246152,0,0,6116.338459
GM0307_2_66,GM0307,426.176923,334,92.1769231,,42,23,6,1,0,12,,17899.43077,9802.069229,2557.061538,426.176923,0,5114.123076
GM0307_2_67,GM0307,17.5769231,0,17.5769231,,82,5,0,0,17,59,,1441.307694,87.8846155,0,0,298.8076927,1037.038463
GM0307_2_45,GM0307,195.753846,190,5.75384615,,37,18,7,0,1,11,,7242.892302,3523.569228,1370.276922,0,195.753846,2153.292306
GM0307_2_41,GM0307,260.630769,251,9.63076923,,32,16,5,0,1,10,,8340.184608,4170.092304,1303.153845,0,260.630769,2606.30769
GM0307_2_12,GM0307,246.576923,209,37.5769231,,44,23,7,1,1,12,,10849.38461,5671.269229,1726.038461,246.576923,246.576923,2958.923076
GM0307_2_139,GM0307,211.353846,198,13.3538462,,33,16,5,0,1,11,,6974.676918,3381.661536,1056.76923,0,211.353846,2324.892306
GM0307_2_99,GM0307,435.961538,402,33.9615385,,43,23,8,0,2,11,,18746.34613,10027.11537,3487.692304,0,871.923076,4795.576918
GM0307_2_94,GM0307,127.946154,125,2.94615385,,29,12,7,0,0,9,,3710.438466,1535.353848,895.623078,0,0,1151.515386
GM0307_2_129,GM0307,323.730769,297,26.7307692,,43,20,7,0,1,15,,13920.42307,6474.61538,2266.115383,0,323.730769,4855.961535
GM0307_2_54,GM0307,345.961538,332,13.9615385,,31,13,7,0,0,11,,10724.80768,4497.499994,2421.730766,0,0,3805.576918
GM0307_2_92,GM0307,19.5,0,19.5,,82,6,0,0,17,59,,1599,117,0,0,331.5,1150.5
GM0307_2_150,GM0307,289.430769,289,0.430769231,,39,21,8,0,0,10,,11287.79999,6078.046149,2315.446152,0,0,2894.30769
GM0307_2_111,GM0307,294.353846,276,18.3538462,,45,24,8,1,2,12,,13245.92307,7064.492304,2354.830768,294.353846,588.707692,3532.246152
GM0307_2_68,GM0307,422.692308,397,25.6923077,,43,21,7,0,1,13,,18175.76924,8876.538468,2958.846156,0,422.692308,5495.000004
GM0307_2_5,GM0307,305.392308,276,29.3923077,,37,18,7,0,0,11,,11299.5154,5497.061544,2137.746156,0,0,3359.315388
