neighbourhood,type,E,H,geothermal,HT,MT,LT,backup,undecided,useful_heat,heat_reduction
BU03072402,utility,7647.650420071258,,,,,,,,244.04407330128248,89.52336352771756
BU03071300,residences,4342.869,,,,,29412.12006334,20761.496515298822,,29412.12006334,0.0
BU03071300,utility,4342.869000283501,,,,,1540.128318599512,1087.1494013643614,,1540.128318599512,253.74894646248782
BU03071402,residences,3295.6470000540003,,,,,20063.66982408,14162.59046405647,,20063.66982408,0.0
BU03071402,utility,3295.647002448,,,,,2121.2867489808423,1497.3788816335357,,2121.2867489808423,406.6756897791574
BU03071401,residences,6155.486999831999,,,,,37036.65560544,26143.52160384,,37036.65560544,0.0
BU03071401,utility,6155.48700522,,,,,5351.063981130001,3777.2216337388236,,5351.063981130001,0.0
BU03072108,residences,11766.695980550612,,,,,,,,22321.529927064796,5485.408460615204
BU03072108,utility,5938.706392892307,,,,,,,,466.5689737174005,170.45141086459947
BU03070800,residences,6039.2789999685,,,,,31546.76619666,22268.305550583525,,31546.76619666,0.0
BU03070800,utility,6039.27900079725,,,,,1769.3446077429724,1248.9491348773922,,1769.3446077429724,73.54922481602755
BU03071601,residences,6869.016,,,,,42476.65024019674,29983.517816609463,,42476.65024019674,950.3323785432659
BU03071601,utility,6869.016002467499,,,,,7809.96869766,5512.919080701176,,7809.96869766,0.0
BU03070105,residences,3582.5490001619996,,,,,19995.731436330003,14114.633955056472,,19995.731436330003,0.0
BU03070105,utility,3582.548993439,,,,,4732.318247892,3340.45993968847,,4732.318247892,0.0
BU03071901,residences,6180.19200189,,,,,35081.551343340005,24763.448007063533,,35081.551343340005,0.0
BU03071901,utility,6180.19200138375,,,,,7210.411999125001,5089.702587617648,,7210.411999125001,0.0
BU03071905,residences,5258.630908007577,,,,,,,,9974.553405028415,2331.2917759715856
BU03071905,utility,2659.702103294737,,,,,,,,228.570387085263,366.136006610737
BU03071000,residences,2934.252,,,,,18187.020538279998,12837.896850550587,,18187.020538279998,0.0
BU03071000,utility,2934.2520001912503,,,,,3075.722038460069,2171.0979095012253,,3075.722038460069,472.78799707993096
BU03071903,residences,5147.36100108,,,,,26380.083725639997,18621.235571039997,,26380.083725639997,0.0
